city1,city2,actual_fare,predicted_fare,pct_diff,suggested_alternatives
"Indianapolis, IN","Miami, FL (Metropolitan Area)",226.86,180.1913470029831,0.2589949726955774,"Punta Gorda, FL;Seattle, WA;Los Angeles, CA (Metropolitan Area)"
"Indianapolis, IN","Minneapolis/St. Paul, MN",298.17,255.3259527683258,0.16780138002872533,"Punta Gorda, FL;Seattle, WA;Los Angeles, CA (Metropolitan Area)"
"Indianapolis, IN","Minneapolis/St. Paul, MN",324.55,273.7685489654541,0.1854904488716629,"Punta Gorda, FL;Seattle, WA;Los Angeles, CA (Metropolitan Area)"
"Indianapolis, IN","San Diego, CA",377.17,326.69695338606834,0.15449500245043926,"Punta Gorda, FL;Seattle, WA;Los Angeles, CA (Metropolitan Area)"
"Indianapolis, IN","New York City, NY (Metropolitan Area)",210.5,169.88658547401428,0.23906192718316724,"Punta Gorda, FL;Seattle, WA;Los Angeles, CA (Metropolitan Area)"
"Kalispell, MT","Los Angeles, CA (Metropolitan Area)",306.4,244.92179287970066,0.2510115837282632,
"Kansas City, MO","New York City, NY (Metropolitan Area)",299.58,230.24177211523056,0.3011539880350959,"Seattle, WA;Los Angeles, CA (Metropolitan Area);Los Angeles, CA (Metropolitan Area)"
"Kansas City, MO","New Orleans, LA",314.88,250.44673550128937,0.25727332548273085,"Seattle, WA;Los Angeles, CA (Metropolitan Area);Los Angeles, CA (Metropolitan Area)"
"Kansas City, MO","New York City, NY (Metropolitan Area)",280.07,240.97092121839523,0.16225641908954122,"Seattle, WA;Los Angeles, CA (Metropolitan Area);Los Angeles, CA (Metropolitan Area)"
"Kansas City, MO","Las Vegas, NV",258.22,224.1626944243908,0.1519311929358372,"Seattle, WA;Los Angeles, CA (Metropolitan Area);Los Angeles, CA (Metropolitan Area)"
"Kansas City, MO","Minneapolis/St. Paul, MN",314.66,269.67525029182434,0.16681082027177588,"Seattle, WA;Los Angeles, CA (Metropolitan Area);Los Angeles, CA (Metropolitan Area)"
"Kansas City, MO","San Francisco, CA (Metropolitan Area)",368.1,304.26163202524185,0.20981405887371982,"Seattle, WA;Los Angeles, CA (Metropolitan Area);Los Angeles, CA (Metropolitan Area)"
"Kansas City, MO","Portland, OR",341.02,293.8878934979439,0.1603744405428727,"Seattle, WA;Los Angeles, CA (Metropolitan Area);Los Angeles, CA (Metropolitan Area)"
"Knoxville, TN","Miami, FL (Metropolitan Area)",194.14,159.8104236125946,0.21481437575452295,"Las Vegas, NV;Sanford, FL;Sanford, FL"
"Las Vegas, NV","New York City, NY (Metropolitan Area)",390.02,322.0989220738411,0.21087024287087802,"Richmond, VA;Miami, FL (Metropolitan Area);Richmond, VA"
"Las Vegas, NV","Mission/McAllen/Edinburg, TX",172.31,149.10905167460442,0.15559718249718482,"Richmond, VA;Miami, FL (Metropolitan Area);Richmond, VA"
"Las Vegas, NV","New York City, NY (Metropolitan Area)",336.71,291.00705537199974,0.15705098479340068,"Richmond, VA;Miami, FL (Metropolitan Area);Richmond, VA"
"Las Vegas, NV","Wichita, KS",180.97,145.59243884682655,0.24299037390528994,"Richmond, VA;Miami, FL (Metropolitan Area);Richmond, VA"
"Los Angeles, CA (Metropolitan Area)","Sacramento, CA",185.34,154.59175097942352,0.19889967495529004,"Orlando, FL;Orlando, FL;Raleigh/Durham, NC"
"Los Angeles, CA (Metropolitan Area)","Salt Lake City, UT",230.83,185.387344956398,0.24512274586105023,"Orlando, FL;Orlando, FL;Raleigh/Durham, NC"
"Los Angeles, CA (Metropolitan Area)","Salt Lake City, UT",221.19,177.90968269109726,0.2432712860493934,"Orlando, FL;Orlando, FL;Raleigh/Durham, NC"
"Los Angeles, CA (Metropolitan Area)","Medford, OR",191.27,165.23478710651398,0.15756496164880318,"Orlando, FL;Orlando, FL;Raleigh/Durham, NC"
"Los Angeles, CA (Metropolitan Area)","Oklahoma City, OK",315.65,268.14796286821365,0.17714860341912084,"Orlando, FL;Orlando, FL;Raleigh/Durham, NC"
